,股票名称_x,股票代码_x,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅_x,涨跌额,换手率,股票名称_y,股票代码_y,主力净流入,小单净流入,中单净流入,大单净流入,超大单净流入,主力净流入占比,小单流入净占比,中单流入净占比,大单流入净占比,超大单流入净占比,收盘价,涨跌幅_y
0,北大荒,600598,2022-03-03,14.67,14.87,14.94,14.51,391772,593568704.0,2.93,1.29,0.19,2.2,北大荒,600598,16370022.0,-3453523.0,-12916499.0,4246795.0,12123227.0,2.76,-0.58,-2.18,0.72,2.04,14.87,1.29
1,北大荒,600598,2022-03-04,14.9,14.85,15.21,14.67,367399,562282016.0,3.63,-0.13,-0.02,2.07,北大荒,600598,4577996.0,6487055.0,-11065051.0,-2876602.0,7454598.0,0.81,1.15,-1.97,-0.51,1.33,14.85,-0.13
2,北大荒,600598,2022-03-07,15.15,14.75,15.2,14.5,382535,582772560.0,4.71,-0.67,-0.1,2.15,北大荒,600598,-45132373.0,33522317.0,11610055.0,-30358298.0,-14774075.0,-7.74,5.75,1.99,-5.21,-2.54,14.75,-0.67
3,北大荒,600598,2022-03-08,14.3,14.07,14.46,14.04,304596,445417904.0,2.85,-4.61,-0.68,1.71,北大荒,600598,-46660258.0,46659571.0,688.0,-30409587.0,-16250671.0,-10.48,10.48,0.0,-6.83,-3.65,14.07,-4.61
4,北大荒,600598,2022-03-09,14.05,14.4,14.68,13.28,391730,574242192.0,9.95,2.35,0.33,2.2,北大荒,600598,12956834.0,-4585702.0,-8371131.0,8746581.0,4210253.0,2.26,-0.8,-1.46,1.52,0.73,14.4,2.35
5,北大荒,600598,2022-03-10,14.17,14.08,14.35,13.96,257985,375217888.0,2.71,-2.22,-0.32,1.45,北大荒,600598,-20732585.0,12375160.0,8357424.0,-10062519.0,-10670066.0,-5.53,3.3,2.23,-2.68,-2.84,14.08,-2.22
6,北大荒,600598,2022-03-11,14.03,14.61,14.87,13.96,623139,931841360.0,6.46,3.76,0.53,3.51,北大荒,600598,67215524.0,-72351328.0,5135792.0,50077813.0,17137711.0,7.21,-7.76,0.55,5.37,1.84,14.61,3.76
7,北大荒,600598,2022-03-14,14.4,14.06,14.8,14.05,378817,561370272.0,5.13,-3.76,-0.55,2.13,北大荒,600598,-49638849.0,36079234.0,13559615.0,-21212297.0,-28426552.0,-8.84,6.43,2.42,-3.78,-5.06,14.06,-3.76
8,北大荒,600598,2022-03-15,13.89,12.89,14.02,12.88,515242,711604544.0,8.11,-8.32,-1.17,2.9,北大荒,600598,-84234189.0,84961179.0,-726995.0,-61293917.0,-22940272.0,-11.84,11.94,-0.1,-8.61,-3.22,12.89,-8.32
9,北大荒,600598,2022-03-16,13.15,12.78,13.15,12.04,483045,628375856.0,8.61,-0.85,-0.11,2.72,北大荒,600598,-57479012.0,58868163.0,-1389151.0,-44035627.0,-13443385.0,-9.15,9.37,-0.22,-7.01,-2.14,12.78,-0.85
10,北大荒,600598,2022-03-17,12.78,12.92,13.23,12.6,339371,453566368.0,4.93,1.1,0.14,1.91,北大荒,600598,-24408792.0,23288981.0,1119811.0,-10800478.0,-13608314.0,-5.38,5.13,0.25,-2.38,-3.0,12.92,1.1
11,北大荒,600598,2022-03-18,12.91,13.36,13.49,12.79,317680,434013360.0,5.42,3.41,0.44,1.79,北大荒,600598,14677967.0,-5739274.0,-8938692.0,14367000.0,310967.0,3.38,-1.32,-2.06,3.31,0.07,13.36,3.41
12,北大荒,600598,2022-03-21,13.5,14.74,14.74,13.43,740318,1102215648.0,9.81,10.33,1.38,4.16,北大荒,600598,187378076.0,-105876351.0,-81501728.0,-8559922.0,195937998.0,17.0,-9.61,-7.39,-0.78,17.78,14.74,10.33
13,北大荒,600598,2022-03-22,15.0,14.68,15.3,14.56,984803,1505053136.0,5.02,-0.41,-0.06,5.54,北大荒,600598,-67572479.0,57077056.0,10495424.0,3815088.0,-71387567.0,-4.49,3.79,0.7,0.25,-4.74,14.68,-0.41
14,北大荒,600598,2022-03-23,14.59,14.32,14.75,14.31,505672,751045712.0,3.0,-2.45,-0.36,2.84,北大荒,600598,-31984786.0,28331152.0,3653623.0,-22608803.0,-9375983.0,-4.26,3.77,0.49,-3.01,-1.25,14.32,-2.45
15,北大荒,600598,2022-03-24,14.4,14.38,14.63,14.25,579673,860676896.0,2.65,0.42,0.06,3.26,北大荒,600598,3073027.0,-43287136.0,40214112.0,-7510431.0,10583458.0,0.36,-5.03,4.67,-0.87,1.23,14.38,0.42
16,北大荒,600598,2022-03-25,14.4,15.1,15.74,14.26,1148652,1786769760.0,10.29,5.01,0.72,6.46,北大荒,600598,141183649.0,-99419552.0,-41764096.0,61497088.0,79686561.0,7.9,-5.56,-2.34,3.44,4.46,15.1,5.01
